"Prognose(-interval)";"Leeftijd";"Perioden";"Regio-indeling 2021";"Totale bevolking (x 1 000)"
"Ondergrens 67%-prognose-interval";"Totaal";"2040";"Edam-Volendam";"    36.3"
"Ondergrens 67%-prognose-interval";"Totaal";"2045";"Edam-Volendam";"    36.3"
"Ondergrens 67%-prognose-interval";"Totaal";"2050";"Edam-Volendam";"    36.1"
"Ondergrens 67%-prognose-interval";"Totaal";"2025";"Eemnes";"     9.5"
"Ondergrens 67%-prognose-interval";"Totaal";"2030";"Eemnes";"     9.5"
"Ondergrens 67%-prognose-interval";"Totaal";"2035";"Eemnes";"     9.7"
"Ondergrens 67%-prognose-interval";"Totaal";"2040";"Eemnes";"     9.9"
"Ondergrens 67%-prognose-interval";"Totaal";"2045";"Eemnes";"    10.0"
"Ondergrens 67%-prognose-interval";"Totaal";"2050";"Eemnes";"    10.0"
"Ondergrens 67%-prognose-interval";"Totaal";"2025";"Enkhuizen";"    18.7"
"Ondergrens 67%-prognose-interval";"Totaal";"2030";"Enkhuizen";"    18.5"
"Ondergrens 67%-prognose-interval";"Totaal";"2035";"Enkhuizen";"    18.3"
"Ondergrens 67%-prognose-interval";"Totaal";"2040";"Enkhuizen";"    18.0"
"Ondergrens 67%-prognose-interval";"Totaal";"2045";"Enkhuizen";"    17.8"
"Ondergrens 67%-prognose-interval";"Totaal";"2050";"Enkhuizen";"    17.5"
"Ondergrens 67%-prognose-interval";"Totaal";"2025";"Goeree-Overflakkee";"    50.3"
"Ondergrens 67%-prognose-interval";"Totaal";"2030";"Goeree-Overflakkee";"    49.5"
"Ondergrens 67%-prognose-interval";"Totaal";"2035";"Goeree-Overflakkee";"    48.9"
"Ondergrens 67%-prognose-interval";"Totaal";"2040";"Goeree-Overflakkee";"    48.3"
"Ondergrens 67%-prognose-interval";"Totaal";"2045";"Goeree-Overflakkee";"    47.5"
"Ondergrens 67%-prognose-interval";"Totaal";"2050";"Goeree-Overflakkee";"    46.7"
"Ondergrens 67%-prognose-interval";"Totaal";"2025";"Gooise Meren";"    58.0"
"Ondergrens 67%-prognose-interval";"Totaal";"2030";"Gooise Meren";"    57.2"
"Ondergrens 67%-prognose-interval";"Totaal";"2035";"Gooise Meren";"    56.4"
"Ondergrens 67%-prognose-interval";"Totaal";"2040";"Gooise Meren";"    55.5"
"Ondergrens 67%-prognose-interval";"Totaal";"2045";"Gooise Meren";"    54.8"
"Ondergrens 67%-prognose-interval";"Totaal";"2050";"Gooise Meren";"    53.9"
"Ondergrens 67%-prognose-interval";"Totaal";"2025";"Gorinchem";"    38.0"
"Ondergrens 67%-prognose-interval";"Totaal";"2030";"Gorinchem";"    39.0"
"Ondergrens 67%-prognose-interval";"Totaal";"2035";"Gorinchem";"    39.4"
"Ondergrens 67%-prognose-interval";"Totaal";"2040";"Gorinchem";"    39.3"
"Ondergrens 67%-prognose-interval";"Totaal";"2045";"Gorinchem";"    38.8"
"Ondergrens 67%-prognose-interval";"Totaal";"2050";"Gorinchem";"    38.4"
"Ondergrens 67%-prognose-interval";"Totaal";"2025";"Gouda";"    78.3"
"Ondergrens 67%-prognose-interval";"Totaal";"2030";"Gouda";"    81.2"
"Ondergrens 67%-prognose-interval";"Totaal";"2035";"Gouda";"    82.8"
"Ondergrens 67%-prognose-interval";"Totaal";"2040";"Gouda";"    83.9"
"Ondergrens 67%-prognose-interval";"Totaal";"2045";"Gouda";"    84.4"
"Ondergrens 67%-prognose-interval";"Totaal";"2050";"Gouda";"    84.5"
"Ondergrens 67%-prognose-interval";"Totaal";"2025";"'s-Gravenhage (gemeente)";"   570.4"
"Ondergrens 67%-prognose-interval";"Totaal";"2030";"'s-Gravenhage (gemeente)";"   600.0"
"Ondergrens 67%-prognose-interval";"Totaal";"2035";"'s-Gravenhage (gemeente)";"   619.3"
"Ondergrens 67%-prognose-interval";"Totaal";"2040";"'s-Gravenhage (gemeente)";"   634.8"
"Ondergrens 67%-prognose-interval";"Totaal";"2045";"'s-Gravenhage (gemeente)";"   649.7"
"Ondergrens 67%-prognose-interval";"Totaal";"2050";"'s-Gravenhage (gemeente)";"   664.8"
"Ondergrens 67%-prognose-interval";"Totaal";"2025";"Haarlem";"   169.6"
"Ondergrens 67%-prognose-interval";"Totaal";"2030";"Haarlem";"   181.1"
"Ondergrens 67%-prognose-interval";"Totaal";"2035";"Haarlem";"   186.4"
"Ondergrens 67%-prognose-interval";"Totaal";"2040";"Haarlem";"   190.5"
"Ondergrens 67%-prognose-interval";"Totaal";"2045";"Haarlem";"   193.6"
"Ondergrens 67%-prognose-interval";"Totaal";"2050";"Haarlem";"   195.5"
"Ondergrens 67%-prognose-interval";"Totaal";"2025";"Haarlemmermeer";"   163.0"
"Ondergrens 67%-prognose-interval";"Totaal";"2030";"Haarlemmermeer";"   172.2"
