"Prognose(-interval)";"Leeftijd";"Perioden";"Regio-indeling 2021";"Totale bevolking (x 1 000)"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Bloemendaal";"    24.2"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Bloemendaal";"    24.6"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Bloemendaal";"    25.2"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Bloemendaal";"    25.8"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Bloemendaal";"    26.5"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Bloemendaal";"    27.2"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Bodegraven-Reeuwijk";"    37.8"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Bodegraven-Reeuwijk";"    38.7"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Bodegraven-Reeuwijk";"    39.5"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Bodegraven-Reeuwijk";"    40.0"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Bodegraven-Reeuwijk";"    40.4"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Bodegraven-Reeuwijk";"    40.6"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Brielle";"    18.3"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Brielle";"    19.3"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Brielle";"    19.9"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Brielle";"    20.4"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Brielle";"    20.8"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Brielle";"    21.1"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Bunnik";"    16.5"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Bunnik";"    17.4"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Bunnik";"    18.4"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Bunnik";"    19.4"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Bunnik";"    20.4"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Bunnik";"    21.4"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Bunschoten";"    23.5"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Bunschoten";"    24.8"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Bunschoten";"    26.2"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Bunschoten";"    27.4"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Bunschoten";"    28.5"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Bunschoten";"    29.5"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Capelle aan den IJssel";"    69.2"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Capelle aan den IJssel";"    71.6"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Capelle aan den IJssel";"    74.0"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Capelle aan den IJssel";"    75.3"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Capelle aan den IJssel";"    76.6"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Capelle aan den IJssel";"    78.0"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Castricum";"    37.0"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Castricum";"    37.6"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Castricum";"    38.5"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Castricum";"    39.2"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Castricum";"    40.0"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Castricum";"    40.6"
