"ID";"Geslacht";"Leeftijd";"BurgerlijkeStaat";"RegioS";"Perioden";"BevolkingOp1Januari_1"
"3095";"T001038";"10000";"T001019";"GM0362";"2023JJ00";"   94418"
"3127";"T001038";"10000";"T001019";"GM0363";"2019JJ00";"  862965"
"3128";"T001038";"10000";"T001019";"GM0363";"2020JJ00";"  872757"
"3129";"T001038";"10000";"T001019";"GM0363";"2021JJ00";"  873338"
"3130";"T001038";"10000";"T001019";"GM0363";"2022JJ00";"  882633"
"3131";"T001038";"10000";"T001019";"GM0363";"2023JJ00";"  918117"
"3163";"T001038";"10000";"T001019";"GM0364";"2019JJ00";""
"3164";"T001038";"10000";"T001019";"GM0364";"2020JJ00";""
"3165";"T001038";"10000";"T001019";"GM0364";"2021JJ00";""
"3166";"T001038";"10000";"T001019";"GM0364";"2022JJ00";""
"3167";"T001038";"10000";"T001019";"GM0364";"2023JJ00";""
"3199";"T001038";"10000";"T001019";"GM0199";"2019JJ00";""
"3200";"T001038";"10000";"T001019";"GM0199";"2020JJ00";""
"3201";"T001038";"10000";"T001019";"GM0199";"2021JJ00";""
"3202";"T001038";"10000";"T001019";"GM0199";"2022JJ00";""
"3203";"T001038";"10000";"T001019";"GM0199";"2023JJ00";""
"3235";"T001038";"10000";"T001019";"GM0105";"2019JJ00";""
"3236";"T001038";"10000";"T001019";"GM0105";"2020JJ00";""
"3237";"T001038";"10000";"T001019";"GM0105";"2021JJ00";""
"3238";"T001038";"10000";"T001019";"GM0105";"2022JJ00";""
"3239";"T001038";"10000";"T001019";"GM0105";"2023JJ00";""
"3271";"T001038";"10000";"T001019";"GM0366";"2019JJ00";""
"3272";"T001038";"10000";"T001019";"GM0366";"2020JJ00";""
"3273";"T001038";"10000";"T001019";"GM0366";"2021JJ00";""
"3274";"T001038";"10000";"T001019";"GM0366";"2022JJ00";""
"3275";"T001038";"10000";"T001019";"GM0366";"2023JJ00";""
"3307";"T001038";"10000";"T001019";"GM0200";"2019JJ00";"  162445"
"3308";"T001038";"10000";"T001019";"GM0200";"2020JJ00";"  163818"
"3309";"T001038";"10000";"T001019";"GM0200";"2021JJ00";"  164781"
"3310";"T001038";"10000";"T001019";"GM0200";"2022JJ00";"  165611"
"3311";"T001038";"10000";"T001019";"GM0200";"2023JJ00";"  167191"
"3343";"T001038";"10000";"T001019";"GM0003";"2019JJ00";"   11721"
"3344";"T001038";"10000";"T001019";"GM0003";"2020JJ00";"   11642"
"3345";"T001038";"10000";"T001019";"GM0003";"2021JJ00";""
"3346";"T001038";"10000";"T001019";"GM0003";"2022JJ00";""
"3347";"T001038";"10000";"T001019";"GM0003";"2023JJ00";""
"3379";"T001038";"10000";"T001019";"GM0885";"2019JJ00";""
"3380";"T001038";"10000";"T001019";"GM0885";"2020JJ00";""
"3381";"T001038";"10000";"T001019";"GM0885";"2021JJ00";""
"3382";"T001038";"10000";"T001019";"GM0885";"2022JJ00";""
"3383";"T001038";"10000";"T001019";"GM0885";"2023JJ00";""
"3415";"T001038";"10000";"T001019";"GM0649";"2019JJ00";""
"3416";"T001038";"10000";"T001019";"GM0649";"2020JJ00";""
"3417";"T001038";"10000";"T001019";"GM0649";"2021JJ00";""
"3418";"T001038";"10000";"T001019";"GM0649";"2022JJ00";""
"3419";"T001038";"10000";"T001019";"GM0649";"2023JJ00";""
