"Prognose(-interval)";"Leeftijd";"Perioden";"Regio-indeling 2021";"Totale bevolking (x 1 000)"
"Prognose";"Totaal";"2050";"Diemen";"    44.2"
"Prognose";"Totaal";"2025";"Dordrecht";"   122.2"
"Prognose";"Totaal";"2030";"Dordrecht";"   125.9"
"Prognose";"Totaal";"2035";"Dordrecht";"   127.9"
"Prognose";"Totaal";"2040";"Dordrecht";"   129.1"
"Prognose";"Totaal";"2045";"Dordrecht";"   129.7"
"Prognose";"Totaal";"2050";"Dordrecht";"   129.9"
"Prognose";"Totaal";"2025";"Drechterland";"    20.0"
"Prognose";"Totaal";"2030";"Drechterland";"    19.9"
"Prognose";"Totaal";"2035";"Drechterland";"    19.8"
"Prognose";"Totaal";"2040";"Drechterland";"    19.7"
"Prognose";"Totaal";"2045";"Drechterland";"    19.7"
"Prognose";"Totaal";"2050";"Drechterland";"    19.7"
"Prognose";"Totaal";"2025";"Edam-Volendam";"    37.1"
"Prognose";"Totaal";"2030";"Edam-Volendam";"    37.2"
"Prognose";"Totaal";"2035";"Edam-Volendam";"    37.7"
"Prognose";"Totaal";"2040";"Edam-Volendam";"    38.3"
"Prognose";"Totaal";"2045";"Edam-Volendam";"    38.7"
"Prognose";"Totaal";"2050";"Edam-Volendam";"    39.0"
"Prognose";"Totaal";"2025";"Eemnes";"     9.7"
"Prognose";"Totaal";"2030";"Eemnes";"    10.1"
"Prognose";"Totaal";"2035";"Eemnes";"    10.5"
"Prognose";"Totaal";"2040";"Eemnes";"    10.9"
"Prognose";"Totaal";"2045";"Eemnes";"    11.2"
"Prognose";"Totaal";"2050";"Eemnes";"    11.4"
"Prognose";"Totaal";"2025";"Enkhuizen";"    19.1"
"Prognose";"Totaal";"2030";"Enkhuizen";"    19.4"
"Prognose";"Totaal";"2035";"Enkhuizen";"    19.6"
"Prognose";"Totaal";"2040";"Enkhuizen";"    19.6"
"Prognose";"Totaal";"2045";"Enkhuizen";"    19.7"
"Prognose";"Totaal";"2050";"Enkhuizen";"    19.8"
"Prognose";"Totaal";"2025";"Goeree-Overflakkee";"    50.7"
"Prognose";"Totaal";"2030";"Goeree-Overflakkee";"    50.4"
"Prognose";"Totaal";"2035";"Goeree-Overflakkee";"    50.3"
"Prognose";"Totaal";"2040";"Goeree-Overflakkee";"    50.1"
"Prognose";"Totaal";"2045";"Goeree-Overflakkee";"    49.7"
"Prognose";"Totaal";"2050";"Goeree-Overflakkee";"    49.2"
"Prognose";"Totaal";"2025";"Gooise Meren";"    59.0"
"Prognose";"Totaal";"2030";"Gooise Meren";"    59.2"
"Prognose";"Totaal";"2035";"Gooise Meren";"    59.2"
"Prognose";"Totaal";"2040";"Gooise Meren";"    59.1"
"Prognose";"Totaal";"2045";"Gooise Meren";"    59.2"
"Prognose";"Totaal";"2050";"Gooise Meren";"    59.0"
"Prognose";"Totaal";"2025";"Gorinchem";"    38.8"
"Prognose";"Totaal";"2030";"Gorinchem";"    40.5"
"Prognose";"Totaal";"2035";"Gorinchem";"    41.5"
"Prognose";"Totaal";"2040";"Gorinchem";"    41.9"
"Prognose";"Totaal";"2045";"Gorinchem";"    41.9"
"Prognose";"Totaal";"2050";"Gorinchem";"    41.9"
"Prognose";"Totaal";"2025";"Gouda";"    80.0"
"Prognose";"Totaal";"2030";"Gouda";"    84.3"
"Prognose";"Totaal";"2035";"Gouda";"    87.0"
"Prognose";"Totaal";"2040";"Gouda";"    89.0"
"Prognose";"Totaal";"2045";"Gouda";"    90.4"
"Prognose";"Totaal";"2050";"Gouda";"    91.4"
"Prognose";"Totaal";"2025";"'s-Gravenhage (gemeente)";"   579.2"
"Prognose";"Totaal";"2030";"'s-Gravenhage (gemeente)";"   619.5"
"Prognose";"Totaal";"2035";"'s-Gravenhage (gemeente)";"   649.3"
"Prognose";"Totaal";"2040";"'s-Gravenhage (gemeente)";"   675.3"
"Prognose";"Totaal";"2045";"'s-Gravenhage (gemeente)";"   700.4"
"Prognose";"Totaal";"2050";"'s-Gravenhage (gemeente)";"   725.6"
"Prognose";"Totaal";"2025";"Haarlem";"   172.4"
"Prognose";"Totaal";"2030";"Haarlem";"   186.9"
"Prognose";"Totaal";"2035";"Haarlem";"   194.9"
"Prognose";"Totaal";"2040";"Haarlem";"   201.6"
"Prognose";"Totaal";"2045";"Haarlem";"   207.2"
"Prognose";"Totaal";"2050";"Haarlem";"   211.5"
"Prognose";"Totaal";"2025";"Haarlemmermeer";"   165.6"
"Prognose";"Totaal";"2030";"Haarlemmermeer";"   178.9"
"Prognose";"Totaal";"2035";"Haarlemmermeer";"   188.5"
"Prognose";"Totaal";"2040";"Haarlemmermeer";"   196.3"
"Prognose";"Totaal";"2045";"Haarlemmermeer";"   200.6"
"Prognose";"Totaal";"2050";"Haarlemmermeer";"   205.1"
"Prognose";"Totaal";"2025";"Hardinxveld-Giessendam";"    18.9"
"Prognose";"Totaal";"2030";"Hardinxveld-Giessendam";"    19.5"
"Prognose";"Totaal";"2035";"Hardinxveld-Giessendam";"    20.0"
"Prognose";"Totaal";"2040";"Hardinxveld-Giessendam";"    20.4"
"Prognose";"Totaal";"2045";"Hardinxveld-Giessendam";"    20.8"
"Prognose";"Totaal";"2050";"Hardinxveld-Giessendam";"    21.1"
"Prognose";"Totaal";"2025";"Heemskerk";"    39.7"
"Prognose";"Totaal";"2030";"Heemskerk";"    40.0"
"Prognose";"Totaal";"2035";"Heemskerk";"    40.8"
"Prognose";"Totaal";"2040";"Heemskerk";"    41.6"
"Prognose";"Totaal";"2045";"Heemskerk";"    42.1"
"Prognose";"Totaal";"2050";"Heemskerk";"    42.5"
"Prognose";"Totaal";"2025";"Heemstede";"    27.4"
"Prognose";"Totaal";"2030";"Heemstede";"    27.5"
"Prognose";"Totaal";"2035";"Heemstede";"    28.0"
"Prognose";"Totaal";"2040";"Heemstede";"    28.6"
"Prognose";"Totaal";"2045";"Heemstede";"    29.2"
"Prognose";"Totaal";"2050";"Heemstede";"    29.5"
"Prognose";"Totaal";"2025";"Heerhugowaard";"    61.3"
"Prognose";"Totaal";"2030";"Heerhugowaard";"    63.1"
"Prognose";"Totaal";"2035";"Heerhugowaard";"    64.8"
"Prognose";"Totaal";"2040";"Heerhugowaard";"    66.2"
"Prognose";"Totaal";"2045";"Heerhugowaard";"    67.4"
"Prognose";"Totaal";"2050";"Heerhugowaard";"    68.5"
"Prognose";"Totaal";"2025";"Heiloo";"    24.9"
"Prognose";"Totaal";"2030";"Heiloo";"    25.7"
"Prognose";"Totaal";"2035";"Heiloo";"    26.2"
"Prognose";"Totaal";"2040";"Heiloo";"    26.7"
"Prognose";"Totaal";"2045";"Heiloo";"    26.9"
"Prognose";"Totaal";"2050";"Heiloo";"    27.1"
"Prognose";"Totaal";"2025";"Den Helder";"    55.7"
"Prognose";"Totaal";"2030";"Den Helder";"    54.3"
"Prognose";"Totaal";"2035";"Den Helder";"    53.0"
"Prognose";"Totaal";"2040";"Den Helder";"    51.9"
"Prognose";"Totaal";"2045";"Den Helder";"    50.9"
"Prognose";"Totaal";"2050";"Den Helder";"    49.6"
"Prognose";"Totaal";"2025";"Hellevoetsluis";"    40.4"
"Prognose";"Totaal";"2030";"Hellevoetsluis";"    40.7"
"Prognose";"Totaal";"2035";"Hellevoetsluis";"    40.6"
"Prognose";"Totaal";"2040";"Hellevoetsluis";"    40.0"
"Prognose";"Totaal";"2045";"Hellevoetsluis";"    39.4"
"Prognose";"Totaal";"2050";"Hellevoetsluis";"    38.8"
"Prognose";"Totaal";"2025";"Hendrik-Ido-Ambacht";"    31.9"
"Prognose";"Totaal";"2030";"Hendrik-Ido-Ambacht";"    32.9"
"Prognose";"Totaal";"2035";"Hendrik-Ido-Ambacht";"    34.1"
"Prognose";"Totaal";"2040";"Hendrik-Ido-Ambacht";"    35.2"
"Prognose";"Totaal";"2045";"Hendrik-Ido-Ambacht";"    36.2"
"Prognose";"Totaal";"2050";"Hendrik-Ido-Ambacht";"    37.2"
"Prognose";"Totaal";"2025";"Hillegom";"    23.2"
"Prognose";"Totaal";"2030";"Hillegom";"    24.1"
"Prognose";"Totaal";"2035";"Hillegom";"    24.9"
"Prognose";"Totaal";"2040";"Hillegom";"    25.7"
"Prognose";"Totaal";"2045";"Hillegom";"    26.3"
"Prognose";"Totaal";"2050";"Hillegom";"    26.8"
"Prognose";"Totaal";"2025";"Hilversum";"    96.6"
"Prognose";"Totaal";"2030";"Hilversum";"   100.9"
"Prognose";"Totaal";"2035";"Hilversum";"   105.2"
"Prognose";"Totaal";"2040";"Hilversum";"   108.9"
"Prognose";"Totaal";"2045";"Hilversum";"   112.1"
"Prognose";"Totaal";"2050";"Hilversum";"   114.3"
"Prognose";"Totaal";"2025";"Hoeksche Waard";"    88.8"
"Prognose";"Totaal";"2030";"Hoeksche Waard";"    88.6"
