"seconds","year","cef_f_rhc","cef_f_lr","nef_f_rhc","nef_f_lr","ecf_f_rhc","ecf_f_lr","waterway_effective_load_factor","_load_factor_change","load_capacity_rhc","load_capacity_lr","share_rhc","share_lr"
662256000,2040,26.292008797654,16.3594721407625,0.11926887829912,0.060262170087977,0.251869090909091,0.173963636363636,0.668401759530792,1.2967008797654,1993.02925219942,3930.30036656893,0.5,0.5
693792000,2041,25.7568024193548,16.0264548387097,0.114570191532258,0.057888096774194,0.24940035,0.1722585,0.675967741935484,1.3118427419355,2016.30229435483,3976.19535080644,0.5,0.5
725328000,2042,25.2424398826979,15.7064070381232,0.110588914956012,0.055876504398827,0.247013345454545,0.170609818181818,0.68366568914956,1.3270439882698,2039.66660997067,4022.27032844573,0.5,0.5
756864000,2043,24.7466052052786,15.3978876832845,0.107245336326979,0.054187117302053,0.244698995454545,0.169011318181818,0.691495601173021,1.3422980205279,2063.11205755132,4068.50530021994,0.5,0.5
788400000,2044,24.2669824046921,15.0994557184751,0.10445974340176,0.052779659824047,0.242448218181818,0.167456727272727,0.699457478005865,1.3575982404692,2086.62849560118,4114.88026686218,0.5,0.5
819936000,2045,23.8012554985337,14.8096700879765,0.10215242393695,0.051613856304985,0.240251931818182,0.165939772727273,0.707551319648094,1.3729380498534,2110.20578262463,4161.37522910556,0.5,0.5
851472000,2046,23.3471085043988,14.5270897360704,0.10024366568915,0.050649431085044,0.238101054545455,0.164454181818182,0.715777126099707,1.3883108504399,2133.8337771261,4207.97018768328,0.5,0.5
883008000,2047,22.9022254398827,14.2502736070381,0.098653756414956,0.049846108504399,0.235986504545455,0.162993681818182,0.724134897360704,1.4037100439883,2157.50233760997,4254.64514332845,0.5,0.5
914544000,2048,22.4642903225806,13.9777806451613,0.097302983870968,0.049163612903226,0.2338992,0.161552,0.732624633431085,1.4191290322581,2181.20132258064,4301.38009677418,0.5,0.5
946080000,2049,22.030987170088,13.7081697947214,0.096111635813783,0.048561668621701,0.231830059090909,0.160122863636364,0.74124633431085,1.4345612170088,2204.92059054253,4348.15504875367,0.5,0.5
977616000,2050,21.6,13.44,0.095,0.048,0.22977,0.1587,0.75,1.4500000000000,2228.65,4394.95,0.5,0.5
