"seconds","_year","cef_f_truck_medium","cef_f_tractor_light","cef_f_tractor_heavy","nef_f_truck_medium","nef_f_tractor_light","nef_f_tractor_heavy","ecf_f_truck_medium","ecf_f_tractor_light","ecf_f_tractor_heavy","road_effective_load_factor","_load_factor_change","load_capacity_truck_medium","load_capacity_tractor_light","load_capacity_tractor_heavy","share_truck_medium","share_tractor_light","share_tractor_heavy","cef_p_passenger_car","nef_p_passenger_car","ecf_p_passenger_car","share_passenger_car","load_capacity_passenger_car"
662256000,2040,61.916642228739,61.916642228739,61.916642228739,0.04083284457478,0.04083284457478,0.04083284457478,0.119564545454545,0.119564545454545,0.119564545454545,0.554560117302053,1.2967008797654,9.7252565982405,20.3582038123168,37.8636656891497,0.25,0.48,0.27,65.5587976539589,0.08166568914956,1.30363923753666,1,1
693792000,2041,60.2835766129032,60.2835766129032,60.2835766129032,0.039664516129032,0.039664516129032,0.039664516129032,0.11938265,0.11938265,0.11938265,0.561064516129032,1.3118427419355,9.8388205645161,20.595931048387,38.305808064516,0.25,0.48,0.27,63.8296693548387,0.079329032258065,1.30165599032258,1,1
725328000,2042,58.7141114369501,58.7141114369501,58.7141114369501,0.038559530791789,0.038559530791789,0.038559530791789,0.119202472727273,0.119202472727273,0.119202472727273,0.567577712609971,1.3270439882698,9.95282991202343,20.8345906158357,38.7496844574779,0.25,0.48,0.27,62.1678826979472,0.077119061583578,1.29969147683284,1,1
756864000,2043,57.2011799853372,57.2011799853372,57.2011799853372,0.03751788856305,0.03751788856305,0.03751788856305,0.119023822727273,0.119023822727273,0.119023822727273,0.574099706744868,1.3422980205279,10.067235153959,21.0740789222874,39.1951021994135,0.25,0.48,0.27,60.5659552785924,0.0750357771261,1.29774361554252,1,1
788400000,2044,55.737715542522,55.737715542522,55.737715542522,0.036539589442815,0.036539589442815,0.036539589442815,0.118846509090909,0.118846509090909,0.118846509090909,0.580630498533724,1.3575982404692,10.1819868035191,21.3142923753666,39.6418686217009,0.25,0.48,0.27,59.0164046920821,0.073079178885631,1.29581032492669,1,1
819936000,2045,54.3166513929619,54.3166513929619,54.3166513929619,0.035624633431085,0.035624633431085,0.035624633431085,0.118670340909091,0.118670340909091,0.118670340909091,0.58717008797654,1.3729380498534,10.2970353739003,21.5551273826979,40.0897910557184,0.25,0.48,0.27,57.5117485337243,0.07124926686217,1.29388952346041,1,1
851472000,2046,52.9309208211144,52.9309208211144,52.9309208211144,0.034773020527859,0.034773020527859,0.034773020527859,0.118495127272727,0.118495127272727,0.118495127272727,0.593718475073314,1.3883108504399,10.4123313782991,21.7964803519061,40.5386768328445,0.25,0.48,0.27,56.044504398827,0.069546041055719,1.29197912961877,1,1
883008000,2047,51.5734571114369,51.5734571114369,51.5734571114369,0.033984750733138,0.033984750733138,0.033984750733138,0.118320677272727,0.118320677272727,0.118320677272727,0.600275659824047,1.4037100439883,10.527825329912,22.0382476906158,40.9883332844575,0.25,0.48,0.27,54.6071898826979,0.067969501466276,1.29007706187683,1,1
914544000,2048,50.2371935483871,50.2371935483871,50.2371935483871,0.033259824046921,0.033259824046921,0.033259824046921,0.1181468,0.1181468,0.1181468,0.606841642228739,1.4191290322581,10.6434677419355,22.2803258064515,41.4385677419354,0.25,0.48,0.27,53.1923225806452,0.066519648093842,1.28818123870968,1,1
946080000,2049,48.9150634164223,48.9150634164223,48.9150634164223,0.032598240469208,0.032598240469208,0.032598240469208,0.117973304545455,0.117973304545455,0.117973304545455,0.61341642228739,1.4345612170088,10.759209127566,22.5226111070382,41.889187536657,0.25,0.48,0.27,51.7924200879765,0.065196480938416,1.28628957859238,1,1
977616000,2050,47.6,47.6,47.6,0.032,0.032,0.032,0.1178,0.1178,0.1178,0.62,1.4500000000000,10.875,22.765,42.34,0.25,0.48,0.27,50.4,0.064,1.2844,1,1
