"seconds","_year","cef_f_truck_medium","cef_f_tractor_light","cef_f_tractor_heavy","nef_f_truck_medium","nef_f_tractor_light","nef_f_tractor_heavy","ecf_f_truck_medium","ecf_f_tractor_light","ecf_f_tractor_heavy","road_effective_load_factor","_load_factor_change","load_capacity_truck_medium","load_capacity_tractor_light","load_capacity_tractor_heavy","share_truck_medium","share_tractor_light","share_tractor_heavy","cef_p_passenger_car","nef_p_passenger_car","ecf_p_passenger_car","share_passenger_car","load_capacity_passenger_car","_IDX","_IDX2"
315360000,2029,47.2756186229127,47.2756186229127,47.2756186229127,0.250623460410557,0.250623460410557,0.250623460410557,0.649178885630499,0.649178885630499,0.649178885630499,1.13594374833378,8.51957811250333,17.8343168488403,33.1695574513463,0.25,0.48,0.27,56.2054576961295,0.094830498533724,0.82787573313783,1,1,1,-1,10
346896000,2030,44.1,44.1,44.1,0.2405,0.2405,0.2405,0.6392,0.6392,0.6392,1.15,8.625,18.055,33.58,0.25,0.48,0.27,52.43,0.091,0.81515,1,1,1,0,11
378432000,2031,41.1165,41.1165,41.1165,0.230706392961877,0.230706392961877,0.230706392961877,0.629276246334311,0.629276246334311,0.629276246334311,1.16418511730205,8.7313883797654,18.2777063416422,33.9942054252199,0.25,0.48,0.27,48.88295,0.08729431085044,0.802494574780059,1,1,1,1,
409968000,2032,38.286,38.286,38.286,0.221242639296188,0.221242639296188,0.221242639296188,0.619407624633431,0.619407624633431,0.619407624633431,1.17849560117302,8.83871700879765,18.5023809384164,34.4120715542522,0.25,0.48,0.27,45.5178,0.083713431085044,0.789909457478006,1,1,1,2,
441504000,2033,35.6085,35.6085,35.6085,0.212108739002933,0.212108739002933,0.212108739002933,0.609594134897361,0.609594134897361,0.609594134897361,1.19292485337243,8.94693640029326,18.7289201979472,34.8334057184751,0.25,0.48,0.27,42.33455,0.080257360703812,0.777394648093842,1,1,1,3,
473040000,2034,33.084,33.084,33.084,0.203304692082111,0.203304692082111,0.203304692082111,0.5998357771261,0.5998357771261,0.5998357771261,1.20746627565982,9.05599706744868,18.9572205278592,35.2580152492669,0.25,0.48,0.27,39.3332,0.076926099706745,0.764950146627566,1,1,1,4,
504576000,2035,30.7125,30.7125,30.7125,0.194830498533724,0.194830498533724,0.194830498533724,0.590132551319648,0.590132551319648,0.590132551319648,1.22211326979472,9.16584952346041,19.1871783357771,35.6857074780059,0.25,0.48,0.27,36.51375,0.073719648093842,0.752575953079179,1,1,1,5,
536112000,2036,28.494,28.494,28.494,0.186686158357771,0.186686158357771,0.186686158357771,0.580484457478006,0.580484457478006,0.580484457478006,1.23685923753666,9.27644428152493,19.4186900293255,36.1162897360704,0.25,0.48,0.27,33.8762,0.070638005865103,0.74027206744868,1,1,1,6,
567648000,2037,26.4285,26.4285,26.4285,0.178871671554252,0.178871671554252,0.178871671554252,0.570891495601173,0.570891495601173,0.570891495601173,1.25169758064516,9.38773185483871,19.651652016129,36.5495693548387,0.25,0.48,0.27,31.42055,0.067681173020528,0.72803848973607,1,1,1,7,
599184000,2038,24.516,24.516,24.516,0.171387038123167,0.171387038123167,0.171387038123167,0.56135366568915,0.56135366568915,0.56135366568915,1.26662170087977,9.49966275659824,19.8859607038123,36.9853536656891,0.25,0.48,0.27,29.1468,0.064849149560117,0.715875219941349,1,1,1,8,
630720000,2039,22.7565,22.7565,22.7565,0.164232258064516,0.164232258064516,0.164232258064516,0.551870967741935,0.551870967741935,0.551870967741935,1.281625,9.6121875,20.1215125,37.42345,0.25,0.48,0.27,27.05495,0.062141935483871,0.703782258064516,1,1,1,9,
