,average_remote_working_days,average_working_days,percent_remote_worker,fuel_price,gdp,share_service_sector_gdp,total_vehicles,world_trade_volume,consumer_energy_price,road_load_factor_index,train_ticket_price,commuting_jobs_share,total_jobs,total_population,IC ratio
scenario_061,1.1985901185938719,0.9557487433255616,1.044930172105667,1.557301949292121,1.0402879733454515,1.0022300465644012,1.0253934379199392,1.8484273806701264,1.754782584619127,1.3214082284074518,1.0077548928034157,1.0556903144989624,1.0157009566631305,1.0535435034017966,1.2773068447434537
scenario_062,1.566278064667935,1.1728272460327371,0.649286240786046,0.9467781963762167,1.4073396783902965,1.0053704946981377,1.0485040210059549,1.7534836865055017,2.880715588113659,1.4845539018657543,0.9698726636900711,0.7959507373245724,1.027074476779185,1.0607435005287795,1.5179324082046517
scenario_063,2.1105058646686814,1.1466377325635448,0.5423544220187405,1.153946763906046,1.165737017676928,1.0094587274175928,1.0018503103319685,1.8021186492258974,1.6992196738356524,0.6805441053650113,0.9962335135005869,0.963171352502263,1.027471139847819,1.0679913161683587,2.34713565555658
scenario_064,0.9600217152921482,1.084619109283699,1.0111925740774117,1.5307407975245126,1.3500572465124523,1.0053446382209448,1.027417464728652,1.8744458700789792,0.6659854334285906,1.1435277097452259,1.0266116966317451,1.1058904121184032,1.0206129647834496,1.1020504507953546,2.048684622632867
scenario_065,0.9853505444921931,0.9988024947756327,0.5180283721350821,0.7483674112078508,1.1336393288827171,1.0134797312382333,1.1301054979805385,1.8315523797127167,2.081576799948116,1.4916601459671701,1.0168271812006153,1.085584321601798,0.9403118575763323,1.069743314250722,1.3414874660388565
scenario_066,1.003688448744316,1.1043297752895767,1.129856382728118,1.2220131485767087,1.2786961793113871,1.012818650460383,0.9903224335160182,1.810463061601085,2.3571970710541006,1.0517405154683626,1.0271885733641504,0.66817278701972,1.0066924689111465,1.0731983764202557,2.094558306450704
scenario_067,0.7437596230637149,0.9829120820842606,0.8225841934158826,1.1956245576912934,1.3337640373275923,1.0143358246052923,1.127463103605185,1.663182711289508,1.3508720951985504,1.705051061553675,0.9908154849084744,1.175531176000319,1.0296102826691405,1.0795217779196917,1.429968261413186
scenario_068,3.2898890207073883,1.2697529674016699,1.1192768627270875,0.8020849463331267,1.3079611346781,1.0096119814673352,0.9854012991027905,1.4088069361154039,1.3916227082207289,1.237692175124094,1.0145614062960544,0.8978722531872898,0.9840745242230141,1.0783784736103337,1.6254953896467113
scenario_069,0.4228724682947234,1.02865671826615,1.0495580443313874,0.9766356653017664,1.1395140903154966,1.0081758831812042,1.1157437449039354,1.8189554491000246,1.4976937657406375,0.9663047879889942,0.9583429846532866,0.8360491484163137,1.0306201785152092,1.051336977803667,2.01852564313526
scenario_070,1.8578906324480406,0.9292606573080711,0.543323746435953,1.6924298514455338,1.1328416071790066,1.0116794953308852,1.0759604750983633,1.7087993820618042,1.5765946228375745,1.376317812578203,1.0161636883473915,0.7181922526498797,1.0380378475665248,1.0578808228476366,1.2763948240435263
